career,stream,subjects,entrance_exam,skills,avg_salary
Software Engineer,Science,PCM,JEE,Coding and logic,6-15 LPA
Doctor,Science,PCB,NEET,Biology and patience,8-20 LPA
Chartered Accountant,Commerce,Accounts and Math,CA Foundation,Finance skills,7-25 LPA
Lawyer,Arts,Political Science,CLAT,Argument and logic,5-12 LPA
Journalist,Arts,English,Entrance test,Communication,3-8 LPA
Data Scientist,Science,PCM,JEE,Coding and statistics,10-30 LPA
Graphic Designer,Arts,Design and Art,Entrance test,Creativity and design skills,4-10 LPA
Mechanical Engineer,Science,PCM,JEE,Problem-solving and technical skills,5-12 LPA
Teacher,Arts,Education,Entrance test,Communication and teaching skills,3-8 LPA
Financial Analyst,Commerce,Accounts and Math,CFA,Analytical andfinancial skills,6-15 LPA
